Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No,Invoice No,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
TRANSPORT FLEET MANAGEMENT,7030,VEHICLE EXCISE DUTY/OP LICENCE,2012-10-24,3350760,ERS INVOICE74073,24000.00,DVLA,436560,Unclassified Non Trade,CENTRAL GOVERNMENT
COMMUNITY ASSEMBLY NORTH,9120,OTHER AGENCIES,2012-10-24,3350923,ERS INVOICE74078,1000.00,WHEELS IN MOTION,556249,Unclassified Non Trade,COMMUNITY PROJECTS
COMMUNITY ASSEMBLY CENTRAL,9120,OTHER AGENCIES,2012-10-24,3350924,ERS INVOICE74079,6138.00,NUCA TRADING AS ZEST,503219,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
STEP UP TO SOCIAL WORK,8440,FEE EXPENSES,2012-10-24,3350925,ERS INVOICE74080,1250.00,REDACTED PERSONAL DATA,563852,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
STEP UP TO SOCIAL WORK,8440,FEE EXPENSES,2012-10-24,3350926,ERS INVOICE74081,1250.00,REDACTED PERSONAL DATA,563850,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
STEP UP TO SOCIAL WORK,8440,FEE EXPENSES,2012-10-24,3350927,ERS INVOICE74082,1250.00,REDACTED PERSONAL DATA,563857,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
STEP UP TO SOCIAL WORK,8440,FEE EXPENSES,2012-10-24,3350928,ERS INVOICE74083,1250.00,REDACTED PERSONAL DATA,563862,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
STEP UP TO SOCIAL WORK,8440,FEE EXPENSES,2012-10-24,3350929,ERS INVOICE74084,1250.00,REDACTED PERSONAL DATA,563848,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
STEP UP TO SOCIAL WORK,8440,FEE EXPENSES,2012-10-24,3350930,ERS INVOICE74085,1250.00,REDACTED PERSONAL DATA,564869,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
STEP UP TO SOCIAL WORK,8440,FEE EXPENSES,2012-10-24,3350931,ERS INVOICE74086,1250.00,REDACTED PERSONAL DATA,564863,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
STEP UP TO SOCIAL WORK,8440,FEE EXPENSES,2012-10-24,3350932,ERS INVOICE74087,1250.00,REDACTED PERSONAL DATA,564865,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CORONIAL SERVICES,8440,PATHOLOGIST INVOICE,2012-10-24,3350933,ERS INVOICE74088,595.9,DR NAOMI CARTER,554404,Medical,DOCTORS
POST 16 TRANSPORT PARTNERSHIP,7140,PUBLIC TRANSPORT COSTS,2012-10-24,3323267,SL0063579,1140.00,SYPTE,208757,Transport,BUS & COACH OPERATORS & STATIO
CATERING PREMISES & EQUIPMENT,8010,EQUIPMENT PURCHASE AND REPAIR,2012-10-24,3336651,47825,569.43,BARNSLEY CATERING SERVICES LTD,203262,Catering,CATERING EQUIPMENT
ADULT SOCIAL CARE PURCHASING,9160,PARTNERSHIP CONTRACTS,2012-10-24,3337804,41157,17544.00,SHEFFIELD CHURCHES COUNCIL FOR COMM CARE,337028,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
MS - IRR STAGES 2 & 3,1146,L&B PROFESSIONAL FEES,2012-10-24,3337848,1193331,2735.78,NABARRO,207042,Legal Services,SOLICITORS
IS DEVELOPMENT,8620,COMPUTER & HARDWARE PURCHASES,2012-10-24,3338780,1313,22500.00,YHGFL,386078,Education,EDUCATIONAL SERVICES
CATERING PREMISES & EQUIPMENT,8010,EQUIPMENT PURCHASE AND REPAIR,2012-10-24,3340890,47862,1144.95,BARNSLEY CATERING SERVICES LTD,203262,Catering,CATERING EQUIPMENT
NORTH OF ENGLAND CONFERENCE,8440,FEE EXPENSES,2012-10-24,3341167,14330,10606.11,LEWISLIVE LTD,570972,Leisure Services,"EXHIBITION, EVENT & TRADE FAIR"
TREE MANAGEMENT,1165,NC&A OTHER,2012-10-24,3343169,2048,1050.00,ANDERSON TREE CARE LTD,316084,Environmental Services,TREE WORK & FORESTRY SERVICES
LSE SUB-CONTRACTORS,9120,OTHER AGENCIES,2012-10-24,3344031,100211,12000.00,SPRINT TRAINING LTD,375572,Human Resources,TRAINING SERVICES
IS DEVELOPMENT,8620,COMPUTER & HARDWARE PURCHASES,2012-10-24,3344335,1323,18024.80,YHGFL,386078,Education,EDUCATIONAL SERVICES
SCHOOL SWIMMING SERVICE,6280,HIRE OF PREMISES,2012-10-24,3344460,3023438,3840.00,7 HILLS LEISURE TRUST,566500,Leisure Services,SPORTS GROUND & STADIUM CONTRA
CONTACT CONTRACTS,9280,CONTACT,2012-10-24,3345094,10873,9543.39,SSA SOCIAL WORK LTD,329517,Human Resources,NURSING AGENCIES
WOODLANDS,8260,WOODLAND DEVELOPMENT EXPENSES,2012-10-24,3345355,O308,747,AAA 1ST CALL,361147,Environmental Services,SKIP HIRE
CONTACT CONTRACTS,9280,CONTACT,2012-10-24,3345441,10759,9944.63,SSA SOCIAL WORK LTD,329517,Human Resources,NURSING AGENCIES
CONTACT CONTRACTS,9280,CONTACT,2012-10-24,3345444,10823/51,9303.30,SSA SOCIAL WORK LTD,329517,Human Resources,NURSING AGENCIES
ACCOMMODATION & DEVEL TEAM,9160,PARTNERSHIP CONTRACTS,2012-10-24,3345939,2433,6334.00,SHEFFIELD MENCAP,431582,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
OTHER REPAIRS & FEES,6020,LEGIONELLA MONITORING,2012-10-24,3346175,10698519,861.3,RENTOKIL INITIAL UK LTD,437082,Cleaning and Janitorial,CLEANING SERVICES - COMMERCIAL
WINTER GARDEN,6030,REPAIRS AND MTCE - RESPONSIVE,2012-10-24,3346274,1360,535,CRB DOOR SYSTEMS LTD,541144,Construction,DOORS - REPAIRING
CATERING PREMISES & EQUIPMENT,8030,EQUIPMENT MAINTENANCE CONTRACT,2012-10-24,3346732,10274136,3902.00,DERBYSHIRE COUNTY COUNCIL,543418,Unclassified Non Trade,LOCAL GOVERNMENT
OTHER REPAIRS & FEES,6020,LEGIONELLA MONITORING,2012-10-24,3346800,10698142,1364.61,RENTOKIL INITIAL UK LTD,437082,Cleaning and Janitorial,CLEANING SERVICES - COMMERCIAL
TREE TEAM,6370,GROUNDS MTCE AND ARBORICULTURE,2012-10-24,3347451,106,1145.00,J B HIBBERD LIMITED,510434,Environmental Services,TREE WORK & FORESTRY SERVICES
CREATIVE SERVICES,9120,OTHER AGENCIES,2012-10-24,3347470,18600,2243.00,P & N CORPORATE MEDIA LTD,308965,Facilities Management,DESIGNERS - GRAPHIC
ECCLESALL WOODS SAWMILL SITE,6210,RENTS,2012-10-24,3347512,279,810,HECTOR & CEDRIC LTD,452209,Construction,TIMBER FRAMED BUILDINGS
CUSTOMER CARE & COMMUNICATIONS,8490,TRANSLATN/SIGN/INTERPRET FEES,2012-10-24,3348648,00023746T,1729.77,LANGUAGE LINE LIMITED,206348,Human Resources,TRANSLATORS & INTERPRETERS
OFF THE SHELF,8440,FEE EXPENSES,2012-10-24,3348781,OTS151012B,900,OPUS INDEPENDENT,543026,Education,NEWSPAPER & MAGAZINE PUBLISHER
OFF THE SHELF,8420,ADVERTISING AND PUBLICITY,2012-10-24,3348782,OTS151012,600,OPUS INDEPENDENT,543026,Education,NEWSPAPER & MAGAZINE PUBLISHER
OFF THE SHELF,8420,ADVERTISING AND PUBLICITY,2012-10-24,3348784,OTS151012A,1500.00,OPUS INDEPENDENT,543026,Education,NEWSPAPER & MAGAZINE PUBLISHER
CAR PARKING MANAGEMENT,5750,TRAINING EXPENDITURE,2012-10-24,3348832,UK57272,1300.00,PARKEON LIMITED,493204,Unclassified Trade,MANUFACTURERS
CREATIVE SERVICES,9120,OTHER AGENCIES,2012-10-24,3348861,61771,680,PRINT AND DESIGN FACTORY LTD.,207663,Facilities Management,PRINTERS
PROPERTY DISPOSAL,8420,ADVERTISING AND PUBLICITY,2012-10-24,3349142,73248,750,MARK JENKINSON & SON,206710,Unclassified Trade,AUCTIONEERS & VALUERS
INCLUSION CENTRE,8350,MISCELLANEOUS EXPENSES,2012-10-24,3349168,TARDEB/00002511,3184.00,TSL EDUCATION LTD,437211,Education,NEWSPAPER & MAGAZINE PUBLISHER
SURVEYS,4080,FEES & CHARGES,2012-10-24,3349185,9236,1551.15,ETON ENVIRONMENTAL SERVICES,502195,Construction,ASBESTOS SURVEYS & REMOVALS
PURCHASING & PAYMENTS TEAM,7020,VEHICLE FUEL COSTS,2012-10-24,3349209,35510643,8145.71,ALLSTAR BUSINESS SOLUTIONS LTD,444333,Vehicles Not Buses,CAR & TRUCK LEASING & CONTRACT
CORPORATE DEBT RECOVERY,8440,FEE EXPENSES,2012-10-24,3349253,C143819,1833.02,ROSSENDALES COLLECT LTD,477656,Financial Services,BAILIFFS
PARTNERSHIP & GRANT AID MH,9160,PARTNERSHIP CONTRACTS,2012-10-24,3349263,794/12,34448.00,COMMUNITY ACTION HALFWAY HOME LTD (SP),351147,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PARTNERSHIP & GRANT AID MH,9160,PARTNERSHIP CONTRACTS,2012-10-24,3349267,LTH992,2753.00,SHEFFIELD MIND LTD,341804,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PARTNERSHIP & GRANT AID MH,9160,PARTNERSHIP CONTRACTS,2012-10-24,3349269,LTH991,31560.00,SHEFFIELD MIND LTD,341804,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
HILLSBOROUGH BARRACKS UNIT 7,6270,SERVICE / PFI UNITARY CHARGE,2012-10-24,3349276,7154921,693.76,WM MORRISON SUPERMARKETS PLC,209577,Catering,SUPERMARKETS
HILLSBOROUGH BARRACKS UNIT 7,6270,SERVICE / PFI UNITARY CHARGE,2012-10-24,3349279,7155292,1775.00,WM MORRISON SUPERMARKETS PLC,209577,Catering,SUPERMARKETS
HILLSBOROUGH BARRACKS UNIT 1,6270,SERVICE / PFI UNITARY CHARGE,2012-10-24,3349304,7154933,8168.00,WM MORRISON SUPERMARKETS PLC,209577,Catering,SUPERMARKETS
BURNGREAVE NEW DEAL,8610,OTHER TELECOMMUNICATIONS,2012-10-24,3349319,10742,877.5,ASK4 BUSINESS LTD,519129,ICT,BROADBAND SERVICES
BURNGREAVE NEW DEAL,8610,OTHER TELECOMMUNICATIONS,2012-10-24,3349322,10405,877.5,ASK4 BUSINESS LTD,519129,ICT,BROADBAND SERVICES
BURNGREAVE NEW DEAL,8610,OTHER TELECOMMUNICATIONS,2012-10-24,3349324,11059,877.5,ASK4 BUSINESS LTD,519129,ICT,BROADBAND SERVICES
CREATIVE SERVICES,9120,OTHER AGENCIES,2012-10-24,3349332,118642,670,WIDE WAVE GROUP,511738,Stationery,PROMOTIONAL ITEMS
MINOR ADAPTATIONS,6020,REPAIRS AND MTCE - PROGRAMMED,2012-10-24,3349336,1004,717,NEIL CONSTRUCTION,453315,Construction,BUILDING SERVICES
PD PARTNERSHIP CONTRACTS,9160,PARTNERSHIP CONTRACTS,2012-10-24,3349366,65,4023.00,SOUTH EAST SHEFFIELD C A B,316903,Medical,COUNSELLING & ADVICE SERVICES
SEN TRANSPORT,7140,PUBLIC TRANSPORT COSTS,2012-10-24,3349622,113265777,1316.70,ROTHERHAM M B C,296984,Unclassified Non Trade,LOCAL GOVERNMENT
ICT INFRASTRUCTURE,1197,DIRECT EMPLOYEES FEES,2012-10-24,3349737,5363584,3600.00,MICHAEL PAGE UK LIMITED,347153,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
ICT INFRASTRUCTURE,1197,DIRECT EMPLOYEES FEES,2012-10-24,3349738,5363927,2250.00,MICHAEL PAGE UK LIMITED,347153,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
MINOR ADAPTATIONS,6020,REPAIRS AND MTCE - PROGRAMMED,2012-10-24,3349758,1865/12,711,PIKE JOINERY LIMITED,453858,Construction,CARPENTERS & JOINERS
MINOR ADAPTATIONS,6020,REPAIRS AND MTCE - PROGRAMMED,2012-10-24,3349767,1867/12,805,PIKE JOINERY LIMITED,453858,Construction,CARPENTERS & JOINERS
MINOR ADAPTATIONS,6020,REPAIRS AND MTCE - PROGRAMMED,2012-10-24,3349772,1869/12,538,PIKE JOINERY LIMITED,453858,Construction,CARPENTERS & JOINERS
SHARROW ALMO WORKS,1165,NC&A OTHER,2012-10-24,3349798,12030075,33594.55,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
HR TRANSACTIONS,8100,RECHARGEABLE PURCHASES,2012-10-24,3349804,9451470,580.32,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
HR TRANSACTIONS,8100,RECHARGEABLE PURCHASES,2012-10-24,3349805,9451676,1392.77,SHEFFIELD NEWSPAPERS LTD,208391,Education,NEWSPAPER & MAGAZINE PUBLISHER
ACCOMMODATION,6030,REPAIRS AND MTCE - RESPONSIVE,2012-10-24,3349807,969290,1546.70,NEIGHBOURHOODS DIRECTORATE (HOMES),402953,Unclassified Non Trade,LOCAL GOVERNMENT
ADAPTATIONS,1157,DWELLINGS MAIN CONTRACT,2012-10-24,3349808,9085143235,5123.00,STANNAH LIFT SERVICES LTD.,208625,Social Community Care,STAIRLIFTS - MNFRS & INSTALLER
ADAPTATIONS,1157,DWELLINGS MAIN CONTRACT,2012-10-24,3349809,9085142950,4394.00,STANNAH LIFT SERVICES LTD.,208625,Social Community Care,STAIRLIFTS - MNFRS & INSTALLER
COMMERCIAL ESTATE,8380,PHOTOCOPYING,2012-10-24,3349842,001/12/1128602,581.22,ING LEASE (UK) LIMITED,484570,Financial Services,LEASING SERVICES
MCA SUPPORT TEAM,8440,FEE EXPENSES,2012-10-24,3349843,2012/13-20,1063.72,SHEFFIELD MENTAL HEALTH C.A.B.,316902,Social Community Care,MENTAL HEALTH CENTRES
MCA SUPPORT TEAM,8440,FEE EXPENSES,2012-10-24,3349844,2012/13-19,6740.00,SHEFFIELD MENTAL HEALTH C.A.B.,316902,Social Community Care,MENTAL HEALTH CENTRES
DOUGLAS ROAD,8440,FEE EXPENSES,2012-10-24,3349845,78920,502.46,HARPERS ENVIRONMENTAL LTD,537022,Consultancy,ENVIRONMENTAL CONSULTANTS
RED TAPE CENTRAL,8490,EXAM FEES,2012-10-24,3349865,INV000274511,800,NCFE NATIONAL AWARDING BODY,348112,Education,EXAMINATION BOARDS
COMMUNITY YOUTH TEAMS,6210,RENTS,2012-10-24,3349872,7404,13851.91,MANOR DEVELOPMENT COMPANY LIMITED,420262,Unclassified Trade,OFFICE RENTAL
TRANSPORT FLEET MANAGEMENT,7060,EXTERNAL VEHICLE HIRE,2012-10-24,3349884,54014933,10055.00,MARSHALL MOTOR GROUP LTD,572744,Vehicles Not Buses,COMMERCIAL VEHICLE DEALERS
TRANSPORT FLEET MANAGEMENT,7060,EXTERNAL VEHICLE HIRE,2012-10-24,3349885,54014934,10055.00,MARSHALL MOTOR GROUP LTD,572744,Vehicles Not Buses,COMMERCIAL VEHICLE DEALERS
HR TRANSACTIONS,8100,RECHARGEABLE PURCHASES,2012-10-24,3349893,TARINV/15178006,525,TIMES EDUCATIONAL SUPPLEMENT,297123,Education,NEWSPAPER & MAGAZINE PUBLISHER
SURVEYS,8460,CONSULTANTS FEES,2012-10-24,3349958,SLINV2/00044735,1321.49,IOM CONSULTING LTD,442538,Health and Safety,SAFETY CONSULTANTS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2012-10-24,3349966,11274,1574.25,PARSONS DOWD PSYCHOLOGICAL LTD,563972,Medical,PSYCHOLOGISTS
OFF STREET CAR PARKS,6210,RENTS,2012-10-24,3349986,S0009572,16250.00,HOMES & COMMUNITIES AGENCY,320560,Unclassified Non Trade,DEVELOPMENT AGENCIES
PROVIDER CONTRACT AUG12-JUL13,9120,OTHER AGENCIES,2012-10-24,3349987,82/12,1151.50,DARNALL FORUM LTD,447697,Unclassified Non Trade,COMMUNITY PROJECTS
PROVIDER CONTRACT AUG12-JUL13,9120,OTHER AGENCIES,2012-10-24,3349989,81/12,1151.50,DARNALL FORUM LTD,447697,Unclassified Non Trade,COMMUNITY PROJECTS
ADAPTATIONS,1157,DWELLINGS MAIN CONTRACT,2012-10-24,3350008,9085143802,5613.00,STANNAH LIFT SERVICES LTD.,208625,Social Community Care,STAIRLIFTS - MNFRS & INSTALLER
HARD FM,6030,REPAIRS AND MTCE - RESPONSIVE,2012-10-24,3350047,1368,525,CRB DOOR SYSTEMS LTD,541144,Construction,DOORS - REPAIRING
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2012-10-24,3350058,204564,700,MR RAZIF AZMI,528452,Legal Services,BARRISTERS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2012-10-24,3350059,138720,1351.40,MISS JACQUI THOMAS,547321,Legal Services,BARRISTERS
E-BUSINESS PROGRAMME,8440,FEE EXPENSES,2012-10-24,3350075,5366444,1080.00,MICHAEL PAGE UK LIMITED,347153,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
SOUTH EAST (SH),1157,DWELLINGS MAIN CONTRACT,2012-10-24,3350277,12040006,24000.00,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
SOUTH WEST - ABBEY BROOK,1157,DWELLINGS MAIN CONTRACT,2012-10-24,3350280,12040008,12000.00,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
EAST - BURNGREAVE,1157,DWELLINGS MAIN CONTRACT,2012-10-24,3350284,12040007,10950.00,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2012-10-24,3350302,00023155T,990,LANGUAGE LINE LIMITED,471915,Human Resources,TRANSLATORS & INTERPRETERS
OBSOLETE HEATING,1157,DWELLINGS MAIN CONTRACT,2012-10-24,3350339,12030200/12040076,125180.00,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
PLAYGROUND MAINTENANCE & INSPE,8010,EQUIPMENT PURCHASE AND REPAIR,2012-10-24,3350388,2122710,720,TALURIT UK LTD,526574,Vehicles Not Buses,LIFTING EQUIPMENT
PARKS OPERATIONS NORTH,6370,GROUNDS MTCE AND ARBORICULTURE,2012-10-24,3350455,65,810,WHITTAKERS GROUND CARE,401131,Construction,LANDSCAPE CONTRACTORS & GARDEN
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2012-10-24,3350481,11499,796.25,PARSONS DOWD PSYCHOLOGICAL LTD,563972,Medical,PSYCHOLOGISTS
SHARROW ALMO WORKS,1165,NC&A OTHER,2012-10-24,3350505,12030168,29057.18,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
LEARNING & YOUNG PEOPLE,8060,MATERIALS AND SUPPLIES GENERAL,2012-10-24,3350714,551,1000.00,IMAGINATION GAMING,518155,Education,GAMES SHOPS
CATERING PREMISES & EQUIPMENT,8010,EQUIPMENT PURCHASE AND REPAIR,2012-10-24,3350719,IM476870,1880.00,MANITOWOC FOODSERVICE UK LTD,510809,Domestic Goods,COOKERS - SALES & SERVICE
BOOKS & OTHER MATERIALS,8080,LIBRARY MATERIALS,2012-10-24,3350767,3206573,676.66,AUDIOGO LIMITED,349263,Education,MULTIMEDIA & ELECTRONIC BOOK P
SCHOOLS LIBRARY SERVICE,8080,LIBRARY MATERIALS,2012-10-24,3350779,1595516,543.8,BERTRAM LIBRARY SERVICES,418929,Education,EDUCATIONAL EQUIPMENT & SUPPLI
SCHOOLS LIBRARY SERVICE,8080,LIBRARY MATERIALS,2012-10-24,3350780,1597304,595.3,BERTRAM LIBRARY SERVICES,418929,Education,EDUCATIONAL EQUIPMENT & SUPPLI
SCHOOLS LIBRARY SERVICE,8080,LIBRARY MATERIALS,2012-10-24,3350781,1590879,644.8,BERTRAM LIBRARY SERVICES,418929,Education,EDUCATIONAL EQUIPMENT & SUPPLI
BOOKS & OTHER MATERIALS,8080,MEDIA,2012-10-24,3350785,1604618,1328.81,BERTRAM LIBRARY SERVICES,418929,Education,EDUCATIONAL EQUIPMENT & SUPPLI
BOOKS & OTHER MATERIALS,8080,LIBRARY MATERIALS,2012-10-24,3350794,1597438,559.09,BERTRAM LIBRARY SERVICES,418929,Education,EDUCATIONAL EQUIPMENT & SUPPLI
NEW BANK HOUSE,6150,ELECTRICITY,2012-10-24,3350401,251483329/0014,613.86,SOUTHERN ELECTRIC,318926,Utilities,ELECTRICITY COMPANIES
COMMERCIAL ESTATE,6160,GAS,2012-10-24,3350402,13613315120,905.91,E.ON,299536,Utilities,ELECTRICITY COMPANIES
DISTRICT HEATING GENERAL,8590,LANDLINE TELEPHONES,2012-10-24,3350445,VP64000270Q04201HX,4111.65,BRITISH TELECOMMUNICATIONS PLC,295860,ICT,TELECOMMUNICATION SERVICES
ASYLUM SEEKER CONTRACT,6160,GAS,2012-10-24,3350461,8.5E+11,642.28,BRITISH GAS,443401,Utilities,GAS COMPANIES
STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2012-10-24,3350689,7320,1220.00,GPG 2000 LTD,416225,Vehicles Not Buses,CAR BODY REPAIRS
PURCHASING LEARNING DISABILITI,4260,DIRECT PAYMENTS,2012-10-24,3350168,J539989,962.4,REDACTED PERSONAL DATA,530056,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2012-10-24,3350170,J539989,1718.48,REDACTED PERSONAL DATA,556454,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,4260,DIRECT PAYMENTS,2012-10-24,3350171,J539989,1041.00,REDACTED PERSONAL DATA,557844,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2012-10-24,3350172,J539989,1018.00,REDACTED PERSONAL DATA,563915,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2012-10-24,3350173,J539989,1471.66,REDACTED PERSONAL DATA,564780,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2012-10-24,3350175,SI10/0004847,8411.20,NEW ERA HOUSING AUTHORITY,505956,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
ADULT SOCIAL CARE PURCHASING,9190,CITYWIDE SPOT,2012-10-24,3350175,SI10/0004847,846.4,NEW ERA HOUSING AUTHORITY,505956,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2012-10-24,3350176,SI10/0004849,7666.40,NEW ERA HOUSING AUTHORITY,505956,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
ADULT SOCIAL CARE PURCHASING,9190,CITYWIDE SPOT,2012-10-24,3350177,SI10/0004851,1865.02,NEW ERA HOUSING AUTHORITY,505956,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2012-10-24,3350177,SI10/0004851,1865.02,NEW ERA HOUSING AUTHORITY,505956,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
ADULT SOCIAL CARE PURCHASING,9190,CITYWIDE SPOT,2012-10-24,3350178,SI10/0004856,2925.32,NEW ERA HOUSING AUTHORITY,505956,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
PURCHASING LEARNING DISABILITI,9190,CITYWIDE SPOT,2012-10-24,3350179,SI10/0004857,4853.52,NEW ERA HOUSING AUTHORITY,505956,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2012-10-24,3350167,107133,2975.00,THE KEYS GROUP,328876,Social Community Care,CHILDREN'S HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-24,3350150,J539990 111112,4909.29,DEERLANDS,361836,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-24,3350151,J539991 111112,7505.00,HAZELDENE NURSING HOME,340163,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2012-10-24,3350152,J539992 111112,5814.71,WESTBOURNE HOUSE,362111,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,4260,RESIDENTIAL COSTS RECOVERED,2012-10-24,3350153,J539993 111112,2768.50,ASCOT LODGE CARE HOME,362118,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-24,3350154,J539994 111112,12752.00,SANCTUARY CARE LIMITED,560422,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-24,3350155,J537264 111112,5856.00,SHIREBROOK FIELDS,362105,Social Community Care,NURSING HOMES
PURCHASING LEARNING DISABILITI,9200,CONTINUING RESIDENTIAL CARE,2012-10-24,3350155,J537264 111112,70789.08,SHIREBROOK FIELDS,362105,Social Community Care,NURSING HOMES
PDSI PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-24,3350155,J537264 111112,3484.04,SHIREBROOK FIELDS,362105,Social Community Care,NURSING HOMES
PURCHASING LEARNING DISABILITI,9210,CONTINUING NURSING CARE,2012-10-24,3350155,J537264 111112,24698.00,SHIREBROOK FIELDS,362105,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-24,3350156,J537275 111112,5212.15,ST CATHERINES RESIDENTIAL HOME,344721,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2012-10-24,3350156,J537275 111112,10916.57,ST CATHERINES RESIDENTIAL HOME,344721,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING LEARNING DISABILITI,9210,CONTINUING NURSING CARE,2012-10-24,3350157,J537304 111112,5704.68,WILLOWBECK CARE CENTRE,362132,Social Community Care,NURSING HOMES
PURCHASING,9210,CONTINUING NURSING CARE,2012-10-24,3350157,J537304 111112,13081.12,WILLOWBECK CARE CENTRE,362132,Social Community Care,NURSING HOMES
PDSI PURCHASING,9210,CONTINUING NURSING CARE,2012-10-24,3350157,J537304 111112,3851.04,WILLOWBECK CARE CENTRE,362132,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2012-10-24,3350157,J537304 111112,15517.62,WILLOWBECK CARE CENTRE,362132,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-24,3350158,J537346 111112,43557.71,BEECHY KNOLL,362144,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-24,3350159,J537363 111112,8867.32,WESTBOURNE HOUSE,361791,Social Community Care,NURSING HOMES
PURCHASING LEARNING DISABILITI,9200,CONTINUING RESIDENTIAL CARE,2012-10-24,3350159,J537363 111112,2824.00,WESTBOURNE HOUSE,361791,Social Community Care,NURSING HOMES
