Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-01,5100840076,91844.33,University Hospital of South Mcr
Manchester City Council,Regeneration Finance,Professional fees,2016-02-01,5100837835,57061.00,Salford City Council
Manchester City Council,Regeneration Finance,Professional fees,2016-02-01,5100839319,30000.00,The Carbon and Energy Fund Ltd
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-01,5100840076,20429.08,University Hospital of South Mcr
Manchester City Council,Hospitality + Trading Services,Security,2016-02-01,5100840100,1443.04,Chubb Systems Ltd
Manchester City Council,Chief Executives,Building Works,2016-02-01,5100840198,1015.31,SRM Schoberer Rad Messtechnik GmbH
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973187,817.23,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973163,693.91,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973182,649.33,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-01,1904973128,646.40,Ecomix Concrete Ltd
Manchester City Council,Manchester Leisure,Compensation Payments,2016-02-01,1904962748,630.00,Thompsons Solicitors
Manchester City Council,Manchester Leisure,Compensation Payments,2016-02-01,1904927917,627.00,Department For Work & Pensions
Manchester City Council,Adult Social Care,Furniture,2016-02-01,5100830341,567.78,Zero Six
Manchester City Council,Chief Executives,Compensation Payments,2016-02-01,1904964863,500.00,Redacted Personal Information
Manchester City Council,Chief Executives,External repairs and maintenance for buildings,2016-02-01,5100840120,1618.00,VP Bastion Ltd
Manchester City Council,Manchester Leisure,Rents,2016-02-09,5100842096,5606.85,Wythenshawe Forum Trust Ltd,
Manchester City Council,Environment and Operations,Professional fees,2016-02-09,5100840824,5411.50,AECOM Limited,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2016-02-09,5100842059,4921.23,Burnt Tree Group Ltd,
Manchester City Council,Adult Social Care,Subsistence and Conference Expenses,2016-02-09,5100824846,4500.00,One Education Ltd,
Manchester City Council,Adult Social Care,Payments for services,2016-02-09,5100841963,4085.00,Hopwood Hall College,
Manchester City Council,Hospitality + Trading Services,Fees,2016-02-09,1904970487,4030.00,Marston Group Limited,
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,2016-02-09,5100841406,3657.52,Manchester Working Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-09,5100841960,3600.00,David Blackburne Consultancy Ltd,
Manchester City Council,Adult Social Care,Professional fees,2016-02-09,5100841478,3500.00,Clarity Assurance Ltd,
Manchester City Council,Adult Social Care,Payments for services,2016-02-09,5100841933,3273.92,Penarth Group School,
Manchester City Council,Hospitality + Trading Services,Tipping Charges - Tonnage,2016-02-09,5100841245,3258.64,J.Hopkins (Contractors) Ltd.,
Manchester City Council,Hospitality + Trading Services,Cash Collection,2016-02-09,5100842069,3166.85,NSL Ltd,
Manchester City Council,Hospitality + Trading Services,Funeral and coroner related services,2016-02-09,5100842033,3011.60,Furnace Construction Cremators Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-09,5100842102,2700.00,Hays Personnel,
Manchester City Council,Adult Social Care,Electricity,2016-02-09,5100841877,2699.69,The Manchester College,
Manchester City Council,Manchester Leisure,Compensation Payments,2016-02-09,5100840848,2626.00,Pannone Corporate LLP,
Manchester City Council,Manchester Leisure,Grounds Maintenance Costs,2016-02-09,5100840225,2357.25,Iss Facility Services Limited,
Manchester City Council,Adult Social Care,Payments for services,2016-02-09,5100841736,2291.20,The Together Trust,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2016-02-09,5100842153,2289.25,Barlow Moor Community Association,
Manchester City Council,Adult Social Care,Payments for services,2016-02-09,5100841766,2033.67,The Together Trust,
Manchester City Council,Chief Executives,Infrastructure Fees,2016-02-09,5100842106,2025.00,Hays Personnel,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-09,5100842110,2012.50,Hays Personnel,
Manchester City Council,Chief Executives,Advertising,2016-02-09,5100841206,2000.00,North West Media Ltd,
Manchester City Council,Hospitality + Trading Services,Cash Collection,2016-02-09,5100842068,1968.30,NSL Ltd,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,2016-02-09,5100841944,1964.95,Combined Book Services Ltd,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2016-02-09,5100841767,1962.40,Howarth Timber,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-09,1904983946,1821.24,Brake Bros Foodservice Ltd,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-09,5100840108,1800.00,Exec-Coach Services,
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,2016-02-09,5100842109,1749.30,Manchester Van Hire Ltd,
Manchester City Council,Chief Executives,Infrastructure Fees,2016-02-09,5100842107,1725.00,Hays Personnel,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2016-02-09,5100841812,1700.00,Peter Douglass Platforms,
Manchester City Council,Chief Executives,Printing,2016-02-09,5100840420,1604.00,Astra Signs,
Manchester City Council,Manchester Leisure,Equipment,2016-02-09,5100842100,1450.00,Proportion London,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2016-02-09,5100840768,1386.00,Gibsons Garden Machinery Limited,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-09,5100842105,1382.40,Hays Personnel,
Manchester City Council,Adult Social Care,Payments for services,2016-02-09,5100841955,1342.92,Hopwood Hall College,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2016-02-09,5100841688,1305.54,Howarth Timber,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,2016-02-09,5100841472,1270.00,BTC Group,
Manchester City Council,Adult Social Care,Personal needs of client,2016-02-09,5100841561,1267.20,Frontier Therapeutics,
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,2016-02-09,5100842135,1250.00,FMF Construction Limited,
Manchester City Council,Adult Social Care,Contract Cleaning Internal,2016-02-09,5100841846,1241.20,The Manchester College,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2016-02-09,5100841796,1200.00,Peter Douglass Platforms,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2016-02-09,5100841811,1200.00,Peter Douglass Platforms,
Manchester City Council,Corporate Services,CRB Fees,2016-02-09,5100840663,1140.00,United Medicare Ltd,
Manchester City Council,Hospitality + Trading Services,Agency staff provision,2016-02-09,5100842108,1113.99,Hays Personnel,
Manchester City Council,Childrens Services,Building Works,2016-02-09,5100842041,1050.34,Capita IT Services (BSF) Limited,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2016-02-09,5100841682,1038.73,Howarth Timber,
Manchester City Council,Environment and Operations,Contract Cleaning External,2016-02-09,1904982027,967.80,Manchester Airport Plc,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,2016-02-09,5100841956,918.92,Guild of Master Craftsman,
Manchester City Council,Manchester Leisure,Professional fees,2016-02-09,5100841679,896.00,Clearview Event Services Limited,
Manchester City Council,Manchester Leisure,Professional fees,2016-02-09,5100841686,896.00,Clearview Event Services Limited,
Manchester City Council,Manchester Leisure,Professional fees,2016-02-09,5100841694,896.00,Clearview Event Services Limited,
Manchester City Council,Manchester Leisure,Professional fees,2016-02-09,5100841701,896.00,Clearview Event Services Limited,
Manchester City Council,Manchester Leisure,Professional fees,2016-02-09,5100841706,896.00,Clearview Event Services Limited,
Manchester City Council,Chief Executives,Infrastructure Fees,2016-02-09,5100842101,862.50,Hays Personnel,
Manchester City Council,Adult Social Care,Professional fees,2016-02-09,1904981220,855.98,Stockport Psychology Services,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2016-02-09,5100841378,840.00,Arboricultural Services Treework,
Manchester City Council,Chief Executives,Printing,2016-02-09,5100840697,805.00,Silk Group Ltd,
Manchester City Council,Adult Social Care,Equipment,2016-02-09,5100840809,794.00,Till & Whitehead Ltd,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,2016-02-09,5100842016,786.30,Redacted Personal Information,
Manchester City Council,Adult Social Care,Rents,2016-02-09,5100841469,783.60,Mosscare Housing Ltd,
Manchester City Council,Adult Social Care,Payments for services,2016-02-09,5100841726,763.22,The Together Trust,
Manchester City Council,Adult Social Care,Payments for services,2016-02-09,5100841743,763.22,The Together Trust,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2016-02-09,5100841698,755.44,Howarth Timber,
Manchester City Council,Chief Executives,Printing,2016-02-09,5100840592,753.00,Chapel Press Ltd,
Manchester City Council,Adult Social Care,Payments for services,2016-02-09,5100841768,751.68,The Together Trust,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-09,1904983993,727.20,Ecomix Concrete Ltd,
Manchester City Council,Environment and Operations,Grant Payments,2016-02-09,5100841074,700.00,The Conservation Volunteers,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-09,1904983994,686.80,Ecomix Concrete Ltd,
Manchester City Council,Regeneration Finance,Subsistence and Conference Expenses,2016-02-09,5100841520,672.56,Cresta World Travel t/a Uniglobe,
Manchester City Council,Environment and Operations,Rents,2016-02-09,1904982030,669.00,Manchester Airport Plc,
Manchester City Council,Corporate Services,Collection Commission,2016-02-09,5100841421,666.32,Rossendales Ltd,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,2016-02-09,5100840696,660.00,Silk Group Ltd,
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2016-02-09,5100840976,650.00,Clean-Up UK Limited,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-09,5100841769,650.00,Pennine Pump & Tank Co.,
Manchester City Council,Libraries and Theatres,Payments to Sub-Contractors,2016-02-09,5100841622,650.00,A P Broome Landscapes Ltd,
Manchester City Council,Manchester Leisure,Equipment,2016-02-09,5100842035,620.00,Friends of Chorlton Water Park,
Manchester City Council,Corporate Services,Training and Development,2016-02-09,5100840679,600.00,Arc People Development Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-09,1904983933,579.05,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Hire of Equipment,2016-02-09,5100841505,568.21,Kensite Services Ltd,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-09,5100842149,559.61,TARMAC,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-09,5100842140,557.56,TARMAC,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-09,5100842181,554.64,TARMAC,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2016-02-09,5100842133,554.40,Mastacab LLP,
Manchester City Council,Environment and Operations,Legal Fees,2016-02-09,5100841721,550.00,Redacted Personal Information,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-09,5100842162,529.65,TARMAC,
Manchester City Council,Adult Social Care,Travel,2016-02-09,5100842132,520.27,Transport for Greater Manchester,
Manchester City Council,Adult Social Care,Travel,2016-02-09,5100842142,520.27,Transport for Greater Manchester,
Manchester City Council,Hospitality + Trading Services,Legal Fees,2016-02-09,5100842294,625.00,Cornerstone Barristers,
Manchester City Council,Hospitality + Trading Services,Fees,2016-02-09,1904970487,4030.00,Marston Group Limited,
Manchester City Council,Adult Social Care,Payment of School Budget Share,2016-02-09,5100842119,17995.60,Southern Cross School,
Manchester City Council,Housing Revenue Account,Northwards Repairs Fee,2016-02-10,5100842071,1784120.67,Northwards Housing Limited,
Manchester City Council,Adult Social Care,Public Transport,2016-02-10,5100842295,759145.20,Transport for Greater Manchester,
Manchester City Council,Adult Social Care,Payments for services,2016-02-10,5100842387,381282.00,Central Manchester University Hosp,
Manchester City Council,Hospitality + Trading Services,Payments to Contractors,2016-02-10,5100842439,139330.29,NSL Ltd,
Manchester City Council,Adult Social Care,Public Transport,2016-02-10,5100842212,110564.40,Transport for Greater Manchester,
Manchester City Council,Manchester Leisure,Professional fees,2016-02-10,5100841354,93605.75,The Bridgewater Hall,
Manchester City Council,Adult Social Care,Payments for services,2016-02-10,5100840898,92094.00,Central Manchester University Hosp,
Manchester City Council,Childrens Services,Building Works,2016-02-10,5100840831,59356.50,Bright Futures,
Manchester City Council,Adult Social Care,Public Transport,2016-02-10,5100842211,46506.30,Transport for Greater Manchester,
Manchester City Council,Hospitality + Trading Services,Payments to Contractors,2016-02-10,5100842446,45065.67,NSL Ltd,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-10,5100841067,45041.50,APTSL,
Manchester City Council,Adult Social Care,Rents,2016-02-10,5100842038,39157.14,Accommodation Links Ltd,
Manchester City Council,Adult Social Care,Grant Payments,2016-02-10,5100842134,25000.00,The Pankhurst Centre,
Manchester City Council,Manchester Leisure,Transport Coach Hire,2016-02-10,5100841358,24260.00,Belle Vue Manchester,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-10,5100840239,20714.50,Youbus Ltd,
Manchester City Council,Adult Social Care,Rents,2016-02-10,5100841256,19986.90,United Property Management Ltd,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,2016-02-10,5100841882,15242.50,Arcadis Consulting (UK) Limited,
Manchester City Council,Adult Social Care,Training and Development,2016-02-10,5100840459,15000.00,Respect - RYPP,
Manchester City Council,Environment and Operations,Construction Works,2016-02-10,5100842420,13000.00,J.Hopkins (Contractors) Ltd.,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-10,5100842124,12159.00,Traffic Direct Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-10,5100842389,11737.55,Addiction Dependency Solutions,
Manchester City Council,Hospitality + Trading Services,Insurance,2016-02-10,1904984399,8056.89,Zurich Municipal,
Manchester City Council,Adult Social Care,Public Transport,2016-02-10,5100842218,7860.50,Transport for Greater Manchester,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-10,5100842248,6978.84,Rochdale MBC,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,2016-02-10,5100840857,6875.00,346 Ltd t/a Lansdowne Hotel,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-10,5100842228,6840.00,Royton Minibuses Ltd,
Manchester City Council,Adult Social Care,Training and Development,2016-02-10,5100842280,6400.00,Laurus Development Limited,
Manchester City Council,Regeneration Finance,CRB Fees,2016-02-10,5100842258,6204.00,Disclosure & Barring Service,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-10,5100842185,6091.50,Saheli,
Manchester City Council,Libraries and Theatres,Labour Charges,2016-02-10,5100837562,6052.65,Rochdale MBC,
Manchester City Council,Hospitality + Trading Services,Payments to Contractors,2016-02-10,5100842435,5935.93,NSL Ltd,
Manchester City Council,Hospitality + Trading Services,Collection Commission,2016-02-10,5100842268,5833.93,Verrus (UK) T/A paybyphone,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-10,5100840464,5635.50,Turner & Townsend Cost,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-10,5100840114,5586.00,Galaxy Cars,
Manchester City Council,Manchester Leisure,Equipment,2016-02-10,1904983831,5070.00,Bouncepad,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-10,5100840479,5026.05,Turner & Townsend Project,
Manchester City Council,Manchester Leisure,Compensation Payments,2016-02-10,1904990303,5000.00,Trowers & Hamlins,
Manchester City Council,Manchester Leisure,Professional fees,2016-02-10,5100842304,4855.20,Greater Manchester Community,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-10,5100840439,4845.60,Parkway Cabs & Cars,
Manchester City Council,Adult Social Care,Payments for services,2016-02-10,5100841641,4654.08,Chaigeley Education Foundation,
Manchester City Council,Chief Executives,Building Works,2016-02-10,5100842239,4652.12,HaB International Limited,
Manchester City Council,Adult Social Care,Payments for services,2016-02-10,5100841644,4423.17,Chaigeley Education Foundation,
