Strgrp(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq No,Period,Supplier id(T),Amount,Updated,GC Supplier red,VAT RegNo,Report,Type
Community Based Services,Third Party Payments,Third Party Payments,60020162,378,201202,FOUR SEASONS HEALTHCARE LTD,7317.84,2012-05-23,8400873GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,445,201202,WHICKHAM VILLA,11572.52,2012-05-23,8400483GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,449,201202,ADDISON COURT T/A DAV HOMES LTD,5813.60,2012-05-23,3207441GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,460,201202,WHICKHAM VILLA,4680.64,2012-05-23,8400483GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,542,201202,NORTHVIEW LODGE CARE HOME,3463.04,2012-05-23,3229977GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,633,201202,FOUR SEASONS HEALTHCARE LTD,3418.80,2012-05-23,3154122GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,749,201202,FOUR SEASONS HEALTHCARE LTD,795.14,2012-05-23,8400873GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,838,201202,FOUR SEASONS HEALTHCARE LTD,1144.92,2012-05-23,3154122GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,885,201202,FOUR SEASONS HEALTH CARE LTD,1000.92,2012-05-23,8400042GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,955,201202,BOND CARE,476.80,2012-05-23,3229467GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,957,201202,NORTHVIEW LODGE CARE HOME,834.40,2012-05-23,3229977GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1053,201202,CRAIGIELEA NURSING HOME,478.48,2012-05-23,8400120GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,36,201202,CRAIGIELEA NURSING HOME,434.80,2012-05-23,8400120GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,53,201202,CARELINE LIFESTYLES LTD,434.80,2012-05-23,3213720GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,195,201202,FOUR SEASONS HEALTH CARE LTD,434.80,2012-05-23,8400042GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,375,201202,FOUR SEASONS HEALTHCARE LTD,2174.00,2012-05-23,8400873GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,450,201202,ADDISON COURT T/A DAV HOMES LTD,434.80,2012-05-23,3207441GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,461,201202,WHICKHAM VILLA,1304.40,2012-05-23,8400483GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,462,201202,WHICKHAM VILLA,434.80,2012-05-23,8400483GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,466,201202,ROSEWOOD CARE LLP,434.80,2012-05-23,3201240GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,82,201202,TYNE VIEW NURSING HOME,2154.80,2012-05-23,6417525GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,451,201202,ADDISON COURT T/A DAV HOMES LTD,3554.80,2012-05-23,3207441GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,464,201202,WHICKHAM VILLA,22432.87,2012-05-23,8400483GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,468,201202,ROSEWOOD CARE LLP,1645.20,2012-05-23,3201240GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,543,201202,FOUR SEASONS HEALTHCARE LTD,3516.86,2012-05-23,3154122GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,722,201202,ROSEWOOD CARE LLP,385.28,2012-05-23,3201240GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,725,201202,WHICKHAM VILLA,502.80,2012-05-23,8400483GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,830,201202,FOUR SEASONS HEALTHCARE LTD,485.85,2012-05-23,3154122GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,954,201202,BOND CARE,327.86,2012-05-23,3229467GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333284,33,201202,BARCHESTER HEALTHCARE LTD,1648.00,2012-05-04,3237216GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333285,33,201202,BARCHESTER HEALTHCARE LTD,1648.00,2012-05-04,3237216GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,87,201202,BOND CARE,1752.00,2012-05-23,3229467GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,99,201202,ANCHOR TRUST,1647.44,2012-05-23,8400333GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,124,201202,CARELINE LIFESTYLES LTD,4400.00,2012-05-23,3213720GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,147,201202,TYNE VIEW NURSING HOME,1720.00,2012-05-23,6417525GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,183,201202,BARCHESTER HEALTHCARE LTD,1648.00,2012-05-23,3237216GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,260,201202,WHICKHAM VILLA,11294.01,2012-05-23,8400483GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,320,201202,ST CUTHBERTS HOUSE LTD,3488.00,2012-05-23,3158472GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,379,201202,FOUR SEASONS HEALTHCARE LTD,6797.92,2012-05-23,8400873GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,446,201202,ADDISON COURT T/A DAV HOMES LTD,14380.32,2012-05-23,3207441GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,465,201202,ROSEWOOD CARE LLP,1672.00,2012-05-23,3201240GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331848,2,201202,SCOPE,3015.56,2012-05-01,3134100GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331849,2,201202,SCOPE,7860.67,2012-05-01,3134100GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,491,201202,FORESIGHT RESIDENTIAL LTD,15369.56,2012-05-23,6111006GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,507,201202,LEONARD CHESHIRE FOUNDATION,6078.36,2012-05-23,8400090GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,509,201202,DAVID LEWIS CENTRE,3252.12,2012-05-23,6300867GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,526,201202,LEONARD CHESHIRE FOUNDATION,2848.52,2012-05-23,8400090GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,532,201202,PERCY HEDLEY CENTRE,11962.00,2012-05-23,8400756GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,564,201202,ELPHA LODGE LTD,2986.76,2012-05-23,3068652GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,572,201202,TRU LIMITED,11318.64,2012-05-23,3121689GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,592,201202,FOUR SEASONS HEALTHCARE LTD,5772.04,2012-05-23,3154122GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,617,201202,PATHWAYS CARE GROUP,4663.16,2012-05-23,3226788GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,620,201202,ACOMB COURT,2267.92,2012-05-23,3165519GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,42333284,32,201202,BARCHESTER HEALTHCARE LTD,295.00,2012-05-04,3237216GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,42333285,32,201202,BARCHESTER HEALTHCARE LTD,307.30,2012-05-04,3237216GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,657,201202,WHICKHAM VILLA,788.20,2012-05-23,8400483GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,738,201202,ELPHA LODGE LTD,349.40,2012-05-23,3068652GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,750,201202,FOUR SEASONS HEALTHCARE LTD,311.40,2012-05-23,8400873GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,799,201202,ST CUTHBERTS HOUSE LTD,311.40,2012-05-23,3158472GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,800,201202,PERCY HEDLEY CENTRE,934.20,2012-05-23,8400756GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,808,201202,ACOMB COURT,476.80,2012-05-23,3165519GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,835,201202,FOUR SEASONS HEALTHCARE LTD,476.80,2012-05-23,3154122GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,882,201202,LEONARD CHESHIRE FOUNDATION,311.40,2012-05-23,8400090GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,889,201202,PATHWAYS CARE GROUP,311.40,2012-05-23,3226788GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,919,201202,BARCHESTER HEALTHCARE LTD,311.40,2012-05-23,3237216GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,952,201202,TYNE VIEW NURSING HOME,476.80,2012-05-23,6417525GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,960,201202,FORESIGHT RESIDENTIAL LTD,728.20,2012-05-23,6111006GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,963,201202,DAVID LEWIS CENTRE,349.40,2012-05-23,6300867GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1018,201202,ADDISON COURT T/A DAV HOMES LTD,1477.24,2012-05-23,3207441GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331838,2,201202,PATHWAYS CARE GROUP,4614.73,2012-05-01,3226788GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337318,6,201202,L S CARE LIMITED,194.45,2012-05-22,3121527GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,140,201202,PARKSIDE NORTHERN LTD (T/A THE CHESTERS),3612.57,2012-05-23,8400114GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,259,201202,WHICKHAM VILLA,484.55,2012-05-23,8400483GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331846,2,201202,NORTHUMBRIA CALVERT TRUST,1794.00,2012-05-01,8400561GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,659,201202,WHICKHAM VILLA,41.99,2012-05-23,8400483GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1058,201202,PARKSIDE NORTHERN LTD (T/A THE CHESTERS),448.84,2012-05-23,8400114GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,500,201202,PERCY HEDLEY CENTRE,1663.64,2012-05-23,8400756GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,770,201202,PERCY HEDLEY CENTRE,476.80,2012-05-23,8400756GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331841,2,201202,SPINAL HOMECARE,3900.00,2012-05-01,3192543GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331842,2,201202,MOMENTUM NORTH EAST,560.00,2012-05-01,3176964GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331843,2,201202,MOMENTUM NORTH EAST,650.00,2012-05-01,3176964GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331844,2,201202,MOMENTUM CARE,1165.60,2012-05-01,3179955GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331862,8,201202,MENCAP,11187.18,2012-05-01,3007470GC,791 4831 06,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42332271,5,201202,360 HEALTHCARE LTD,16264.05,2012-05-02,3034671GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333090,5,201202,KELLY PARK CARING AGENCY,2688.00,2012-05-04,3035832GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333091,4,201202,CARELINE HOMECARE LTD,4176.76,2012-05-04,3222999GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333117,4,201202,ALLIED HEALTHCARE GROUP LTD,1356.53,2012-05-04,6421947GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333122,5,201202,CAREWATCH CARE SERVICES LTD,155.82,2012-05-04,3201705GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333127,6,201202,COMFORT CALL LTD,14335.06,2012-05-04,3158154GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333134,6,201202,COMMUNITY CARE NORTH EAST,1911.14,2012-05-04,3222267GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333135,5,201202,MERIT HOME CARE SERVICES,7159.67,2012-05-04,3221607GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333144,5,201202,CROSSROADS CARE,106.16,2012-05-04,6352227GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333158,4,201202,CARELINE HOMECARE LTD,3966.90,2012-05-04,3222999GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333161,4,201202,ALLIED HEALTHCARE GROUP LTD,1142.93,2012-05-04,6421947GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333168,5,201202,KAY CARE SERVICES,7760.03,2012-05-04,8400723GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337318,4,201202,L S CARE LIMITED,30562.91,2012-05-22,3121527GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337322,4,201202,POSITIVE LIFE CHOICES,511.98,2012-05-22,3167871GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337403,2,201202,MOMENTUM CARE,1556.29,2012-05-24,3179955GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337411,2,201202,SPINAL HOMECARE,3900.00,2012-05-23,3192543GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337749,8,201202,CHOICE SERVICES LTD,1246.56,2012-05-24,3025437GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42338612,4,201202,CRYSTAL COMMUNITY CARE LTD,1914.36,2012-05-25,3189375GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42339266,5,201202,360 HEALTHCARE LTD,14275.80,2012-05-30,3034671GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42339630,8,201202,MENCAP,11187.18,2012-05-31,3007470GC,791 4831 06,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42339632,4,201202,HELPING HANDS COMMUNITY CARE,3859.28,2012-05-31,6231480GC,555888972,TRDATA1R,Revenue
Community Based Services,Transport,Public Transport and Taxi Fares,42334552,45,201202,CENTRAL TAXIS OF GATESHEAD LIMITED,570.00,2012-05-14,3042702GC,985 611 978,TRDATA1R,Revenue
Community Based Services,Transport,Public Transport and Taxi Fares,42335657,11,201202,REDACTED - Personal Information,288.00,2012-05-16,6420093GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337314,3,201202,LEONARD CHESHIRE FOUNDATION,321.09,2012-05-22,8400090GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337740,2,201202,PERCY HEDLEY FOUNDATION,2128.80,2012-05-24,6327414GC,746493596,TRDATA1R,Revenue
